method,model_name,task_name,train_subset_size,seed,accuracy,majority_baseline,collapsed,trainable_parameters,peft_parameters,classifier_parameters,ia3_mode,elapsed_seconds,learning_rate,batch_size,max_length,warmup_ratio,max_grad_norm,bf16,num_train_epochs,seed_semantics
ia3,bert-base-uncased,mrpc,320,41,0.6838235294117647,0.6838235294117647,False,29186,27648,1538,peft_native,4.7,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,mrpc,1280,31,0.6838235294117647,0.6838235294117647,False,29186,27648,1538,peft_native,14.8,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,mrpc,1280,37,0.6838235294117647,0.6838235294117647,False,29186,27648,1538,peft_native,15.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
ia3,bert-base-uncased,mrpc,1280,41,0.6838235294117647,0.6838235294117647,False,29186,27648,1538,peft_native,14.7,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,mrpc,80,31,0.6838235294117647,0.6838235294117647,False,296450,294912,1538,,1.2,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,mrpc,80,37,0.6838235294117647,0.6838235294117647,False,296450,294912,1538,,1.2,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,mrpc,80,41,0.6838235294117647,0.6838235294117647,False,296450,294912,1538,,1.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,mrpc,320,31,0.7107843137254902,0.6838235294117647,False,296450,294912,1538,,4.7,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,mrpc,320,37,0.7132352941176471,0.6838235294117647,False,296450,294912,1538,,4.2,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,mrpc,320,41,0.7034313725490197,0.6838235294117647,False,296450,294912,1538,,5.8,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,mrpc,1280,31,0.821078431372549,0.6838235294117647,False,296450,294912,1538,,16.7,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,mrpc,1280,37,0.7916666666666666,0.6838235294117647,False,296450,294912,1538,,16.9,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,mrpc,1280,41,0.7941176470588235,0.6838235294117647,False,296450,294912,1538,,16.5,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit,bert-base-uncased,mrpc,80,31,0.6838235294117647,0.6838235294117647,False,399364,397824,1540,,1.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit,bert-base-uncased,mrpc,80,37,0.6838235294117647,0.6838235294117647,False,399364,397824,1540,,1.5,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit,bert-base-uncased,mrpc,80,41,0.6838235294117647,0.6838235294117647,False,399364,397824,1540,,1.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit,bert-base-uncased,mrpc,320,31,0.6985294117647058,0.6838235294117647,False,399364,397824,1540,,5.1,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit,bert-base-uncased,mrpc,320,37,0.7254901960784313,0.6838235294117647,False,399364,397824,1540,,4.9,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit,bert-base-uncased,mrpc,320,41,0.7083333333333334,0.6838235294117647,False,399364,397824,1540,,5.9,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit,bert-base-uncased,mrpc,1280,31,0.8186274509803921,0.6838235294117647,False,399364,397824,1540,,21.7,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit,bert-base-uncased,mrpc,1280,37,0.7941176470588235,0.6838235294117647,False,399364,397824,1540,,19.8,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit,bert-base-uncased,mrpc,1280,41,0.7990196078431373,0.6838235294117647,False,399364,397824,1540,,20.4,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit_ia3,bert-base-uncased,mrpc,80,31,0.6838235294117647,0.6838235294117647,False,427012,425472,1540,manual_hook,1.5,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit_ia3,bert-base-uncased,mrpc,80,37,0.6838235294117647,0.6838235294117647,False,427012,425472,1540,manual_hook,1.5,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit_ia3,bert-base-uncased,mrpc,80,41,0.6838235294117647,0.6838235294117647,False,427012,425472,1540,manual_hook,1.5,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit_ia3,bert-base-uncased,mrpc,320,31,0.6985294117647058,0.6838235294117647,False,427012,425472,1540,manual_hook,5.5,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit_ia3,bert-base-uncased,mrpc,320,37,0.7254901960784313,0.6838235294117647,False,427012,425472,1540,manual_hook,6.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit_ia3,bert-base-uncased,mrpc,320,41,0.7083333333333334,0.6838235294117647,False,427012,425472,1540,manual_hook,5.9,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit_ia3,bert-base-uncased,mrpc,1280,31,0.8308823529411765,0.6838235294117647,False,427012,425472,1540,manual_hook,22.0,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit_ia3,bert-base-uncased,mrpc,1280,37,0.7916666666666666,0.6838235294117647,False,427012,425472,1540,manual_hook,25.1,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit_ia3,bert-base-uncased,mrpc,1280,41,0.803921568627451,0.6838235294117647,False,427012,425472,1540,manual_hook,21.8,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_ia3,bert-base-uncased,mrpc,80,31,0.6838235294117647,0.6838235294117647,False,324098,322560,1538,manual_hook,1.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_ia3,bert-base-uncased,mrpc,80,37,0.6838235294117647,0.6838235294117647,False,324098,322560,1538,manual_hook,1.4,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_ia3,bert-base-uncased,mrpc,80,41,0.6838235294117647,0.6838235294117647,False,324098,322560,1538,manual_hook,1.4,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_ia3,bert-base-uncased,mrpc,320,31,0.7107843137254902,0.6838235294117647,False,324098,322560,1538,manual_hook,4.8,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
